,Unnamed: 0,City,Country,Max Temp,Current description,Lat,Lng,Hotel Name
2,2,Kapaa,US,84.18,clear sky,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
18,18,Fortuna,US,70.93,scattered clouds,40.5982,-124.1573,Super 8 by Wyndham Fortuna
21,21,Pacific Grove,US,77.61,clear sky,36.6177,-121.9166,Lovers Point Inn
23,23,Hilo,US,82.13,clear sky,19.7297,-155.09,Hilo Hawaiian Hotel
57,66,San Patricio,US,84.61,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
75,84,Half Moon Bay,US,76.05,clear sky,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
85,95,Del Rio,US,82.51,clear sky,29.3627,-100.8968,"Holiday Inn Express & Suites del Rio, an IHG Hotel"
106,117,Kahului,US,85.26,few clouds,20.8947,-156.47,Maui Seaside Hotel
121,134,Jacksonville,US,72.25,broken clouds,30.3322,-81.6556,Hyatt Regency Jacksonville Riverfront
146,163,Laguna,US,75.29,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
178,200,Nanakuli,US,87.75,overcast clouds,21.3906,-158.1547,Camp Pālehua
180,203,Iberia,US,71.67,overcast clouds,29.9502,-91.7507,back to back rv park
183,206,Saint George,US,71.64,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
195,218,Green Valley,US,76.96,clear sky,31.8543,-110.9937,Best Western Green Valley Inn
200,223,San Angelo,US,71.82,clear sky,31.4638,-100.437,"Motel 6 San Angelo, TX"
219,244,San Joaquin,US,75.29,clear sky,37.9333,-121.3011,University Plaza Waterfront Hotel
236,262,Bayonet Point,US,79.95,overcast clouds,28.3267,-82.6834,Homewood Suites by Hilton Tampa-Port Richey
238,264,Las Vegas,US,76.6,clear sky,36.175,-115.1372,Plaza Hotel & Casino
